Name	Id	Birth Date	Birth Place	Age	Height	Nationality	Position	Foot	Joined	Contract Length	img
Seong yun gwon	568661	None	None	19	1,74 m	Korea, South	Left Winger	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/568661-1584688353.jpg?lm=1584688360
Oh yeon cha	402156	None	None	22	1,86 m	Korea, South	Centre-Back	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/402156-1584687970.jpg?lm=1584687983
Seok yeong cho	732698	None	None	23	1,90 m	Korea, South	Centre-Back	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/732698-1584688306.jpg?lm=1584688318
Min gyu oh	740765	None	None	19	1,79 m	Korea, South	Right Winger	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/740765-1584688411.jpg?lm=1584688419
Se jong ju	217345	None	Anyang	29	1,74 m	Korea, South	Central Midfield	None	Jan 8, 2016	-	https://tmssl.akamaized.net/images/portrait/header/217345-1584687869.jpg?lm=1584687877
Geon cheol lee	497406	None	None	24	1,86 m	Korea, South	None	None	Feb 1, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Dong jin park	428649	None	None	25	1,82 m	Korea, South	Centre-Forward	None	Jan 1, 2018	-	https://tmssl.akamaized.net/images/portrait/header/428649-1584688479.jpg?lm=1584688485
Seung won yun	314345	None	None	25	1,86 m	Korea, South	Attacking Midfield	None	Jan 15, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Chang mo ku	672654	None	None	20	1,79 m	Korea, South	Defensive Midfield	None	Feb 19, 2020	-	https://tmssl.akamaized.net/images/portrait/header/672654-1590249153.jpg?lm=1590249145
Jae won shin	639698	None	None	21	1,83 m	Korea, South	Right Midfield	None	Mar 2, 2020	31.12.2020	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Heui woong jang	687999	None	None	None	None	None	None	None	None	None	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Ki wook hwang	292247	None	None	23	1,85 m	Korea, South	Defensive Midfield	None	Jan 10, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Heui seong park	128378	None	Yeosu, Jeonnam	30	1,87 m	Korea, South	Centre-Forward	None	Jan 1, 2020	-	https://tmssl.akamaized.net/images/portrait/header/128378-1590247708.jpg?lm=1590247793
Won jin jung	420640	None	None	25	1,76 m	Korea, South	Attacking Midfield	None	Jul 28, 2018	-	https://tmssl.akamaized.net/images/portrait/header/420640-1584687670.jpg?lm=1584687688
Seong jae shin	426924	None	None	23	1,82 m	Korea, South	Defensive Midfield	None	Jan 10, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Hak seon lee	568664	None	None	20	1,74 m	Korea, South	Central Midfield	None	Jan 1, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Woo ram jeon	568634	None	None	20	1,80 m	Korea, South	Left-Back	None	Jan 1, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Seong min park	501988	None	None	21	1,81 m	Korea, South	Centre-Forward	None	Jan 1, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Woong hee lee	177443	None	Daejeon	31	1,82 m	Korea, South	Centre-Back	None	Mar 2, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Dae sung ha	99445	None	Incheon	35	1,80 m	Korea, South	Attacking Midfield	None	None	None	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
